"chicken","egg"
"1",468491,3581
"2",449743,3532
"3",436815,3327
"4",444523,3255
"5",433937,3156
"6",389958,3081
"7",403446,3166
"8",423921,3443
"9",389624,3424
"10",418591,3561
"11",438288,3640
"12",422841,3840
"13",476935,4456
"14",542047,5000
"15",582197,5366
"16",516497,5154
"17",523227,5130
"18",467217,5077
"19",499644,5032
"20",430876,5148
"21",456549,5404
"22",430988,5322
"23",426555,5323
"24",398156,5307
"25",396776,5402
"26",390708,5407
"27",383690,5500
"28",391363,5442
"29",374281,5442
"30",387002,5542
"31",369484,5339
"32",366082,5358
"33",377392,5403
"34",375575,5345
"35",382262,5435
"36",394118,5474
"37",393019,5540
"38",428746,5836
"39",425158,5777
"40",422096,5629
"41",433280,5704
"42",421763,5806
"43",404191,5742
"44",408769,5502
"45",394101,5461
"46",379754,5382
"47",378361,5377
"48",386518,5408
"49",396933,5608
"50",400585,5777
"51",392110,5825
"52",384838,5625
"53",378609,5800
"54",364584,5656
